Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Universidad Católica del Norte,www.ucn.cl,100,1777,2479,5050,1673,2013
(2) Universidade de São Paulo USP,www.usp.br,1,29,63,6,81,2014
(2) Universidad Nacional Autónoma de México,www.unam.mx,2,58,61,11,314,2014
Universidade Federal do Rio Grande do Sul UFRGS,www.ufrgs.br,3,171,486,4,439,2014
Universidade Estadual de Campinas UNICAMP,www.unicamp.br,4,190,410,14,336,2014
Universidad de Chile,www.uchile.cl,5,208,303,38,497,2014
Universidade Federal do Rio de Janeiro,www.ufrj.br,6,251,436,72,358,2014
Universidade Federal de Santa Catarina UFSC,ufsc.br,7,258,337,20,730,2014
Universidade Federal do Paraná,www.ufpr.br,8,301,434,49,838,2014
Universidade Federal de Minas Gerais UFMG,www.ufmg.br,9,319,619,47,456,2014
Universidad de Buenos Aires,www.uba.ar,10,325,567,217,367,2014
Universidade Estadual Paulista Júlio de Mesquita Filho,www.unesp.br,11,328,815,46,385,2014
Universidade de Brasília UNB,www.unb.br,12,346,432,23,848,2014
Universidad Nacional de Colombia,www.unal.edu.co,13,399,525,60,989,2014
Universidad Nacional de la Plata,www.unlp.edu.ar,14,451,1199,25,650,2014
Universidade Federal do Ceará,www.ufc.br,15,483,570,157,876,2014
Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV,www.cinvestav.mx,16,489,375,1268,554,2014
Universidade Federal Fluminense,www.uff.br,17,492,605,111,978,2014
Universidade Federal da Bahia,www.ufba.br,18,519,839,106,1028,2014
Universidad Autónoma Metropolitana,www.uam.mx,19,539,421,471,1136,2014
Universidade Federal de Pernambuco,www.ufpe.br,20,555,1200,153,865,2014
Universidad de Costa Rica,www.ucr.ac.cr,21,580,715,93,1325,2014
Universidad Nacional de Córdoba,www.unc.edu.ar,22,595,1052,221,1004,2014
Instituto Politécnico Nacional,www.ipn.mx,23,621,1055,213,933,2014
Universidad de los Andes Colombia,www.uniandes.edu.co,24,628,880,478,830,2014
Universidade Federal de Goiás UFG,www.ufg.br,25,659,1297,75,1218,2014
Pontificia Universidad Católica de Chile,www.uc.cl,26,670,1365,982,498,2014
Universidade do Estado do Rio de Janeiro UERJ,www.uerj.br,27,681,1331,223,740,2014
Universidade Federal do Pará UFPA,www.portal.ufpa.br,28,689,726,381,1472,2014
Universidad de Guadalajara,www.udg.mx,29,692,529,769,1641,2014
Universidade Federal de Viçosa UFV,www.ufv.br,30,734,1630,150,1171,2014
Pontificia Universidad Católica del Perú,www.pucp.edu.pe,31,749,1030,120,2160,2014
Pontificia Universidade Católica do Rio Grande do Sul PUCRS,www.pucrs.br,32,761,1559,102,1171,2014
Tecnológico de Monterrey,www.itesm.mx,33,769,551,1523,1570,2014
Universidad de Antioquia,www.udea.edu.co,34,773,1651,127,1133,2014
University of the West Indies,www.uwi.edu,35,774,672,952,1273,2014
Pontificia Universidade Católica do Rio de Janeiro PUC-RIO,www.puc-rio.br,36,781,1109,521,1188,2014
Universidad de Puerto Rico,www.upr.edu,37,806,1471,1495,594,2014
Universidade Federal de Uberlândia,www.ufu.br,38,809,2041,91,1342,2014
Universidad de Concepción,www.udec.cl,39,824,1093,1246,871,2014
Fundação Getulio Vargas FGV,portal.fgv.br,40,860,531,195,3144,2014
Universidade Federal de São Carlos,www.ufscar.br,41,868,2016,310,867,2014
Universidade Estadual de Maringá,www.uem.br,42,874,2316,87,1193,2014
Universidad de Puerto Rico Mayaguez,www.uprm.edu,43,880,1522,1603,1041,2014
(2) Centro Agronómico Tropical de Investigación y Enseñanza,www.catie.ac.cr,44,895,73,1700,2549,2014
Universidade Federal do Rio Grande do Norte,www.ufrn.br,45,912,2003,155,1280,2014
Universidade Federal de Santa Maria UFSM,www.ufsm.br,46,933,2270,161,1139,2014
Universidad de los Andes Mérida,www.ula.ve,47,1002,1866,234,1951,2014
Universidade Federal da Paraíba UFPB,www.ufpb.br,48,1006,2259,177,1273,2014
Universidad de Santiago de Chile,www.usach.cl,49,1009,1461,1154,1349,2014
Universidade Estadual de Londrina,www.uel.br,50,1030,2604,162,1408,2014
Pontificia Universidad Javeriana,www.javeriana.edu.co,51,1036,1837,205,1756,2014
Universidade Federal de São Paulo UNIFESP,www.unifesp.br,52,1065,2325,1342,532,2014
Universidad Nacional de Mar del Plata,www.mdp.edu.ar,53,1085,1922,732,1380,2014
Universidad Central de Venezuela,www.ucv.ve,54,1112,2509,688,1505,2014
Universidad Nacional de Rosario,www.unr.edu.ar,55,1128,1889,883,1289,2014
Universidade Metodista de São Paulo,www.metodista.br,56,1138,575,432,3842,2014
Universidade Federal de Mato Grosso do Sul,www.ufms.br,57,1159,1374,840,2101,2014
(1) Pontificia Universidad Católica de Valparaíso,www.ucv.cl,58,1171,864,1855,1925,2014
Universidad Austral de Chile,www.uach.cl,59,1203,2849,518,1436,2014
Universidad Nacional de Cuyo Mendoza,www.uncu.edu.ar,60,1257,2194,1068,1370,2014
Universidad del Valle Cali,www.univalle.edu.co,61,1257,2721,251,1791,2014
Universidad Nacional del Litoral,www.unl.edu.ar,62,1264,2607,636,1530,2014
Universidad Autónoma de Nuevo León,www.uanl.mx,63,1272,2669,464,1479,2014
Universidade do Vale do Rio dos Sinos UNISINOS,www.unisinos.br,64,1289,1314,499,2638,2014
Pontificia Universidade Católica do Paraná PUCPR,www.pucpr.br,65,1307,1845,1504,1553,2014
Universidad Nacional Costa Rica,www.una.ac.cr,66,1318,2542,309,2384,2014
Universidad Tecnológica Nacional,www.utn.edu.ar,67,1323,1694,1462,2144,2014
Universidade Federal do Rio Grande FURG,www.furg.br,68,1333,3033,470,1857,2014
Universidad Nacional Mayor de San Marcos,www.unmsm.edu.pe,69,1339,2395,238,2276,2014
Universidade do Estado de Santa Catarina UDESC,www.udesc.br,70,1340,1807,442,2384,2014
Universidade Federal de Campina Grande,www.ufcg.edu.br,71,1352,3447,1046,1570,2014
Universidad Autónoma del Estado de México,www.uaemex.mx,72,1376,1381,1221,2091,2014
Universidade Luterana do Brasil ULBRA,www.ulbra.br,73,1378,1434,1019,2316,2014
Universidade Federal do Espírito Santo,portal.ufes.br,74,1389,2845,738,1742,2014
Universidade Federal de Juiz de Fora UFJF,www.ufjf.br,75,1402,3100,729,1428,2014
Universidad de la Habana,www.uh.cu,76,1404,2241,1785,2004,2014
Benemérita Universidad Autónoma de Puebla,www.buap.mx,77,1407,2535,1791,1085,2014
Universidade Federal de Pelotas UFPEL,www.ufpel.edu.br,78,1414,4514,170,1164,2014
Universidade Federal Rural de Pernambuco UFRPE,www.ufrpe.br,79,1424,1688,1904,1742,2014
Universidad de Talca,www.utalca.cl,80,1436,2728,551,2128,2014
Universidad del Bío-Bío,www.ubiobio.cl,81,1438,769,2327,2779,2014
Universidad Michoacana de San Nicolás de Hidalgo,www.umich.mx,82,1445,3280,1181,1466,2014
(1) Universidad Técnica Federico Santa María,www.utfsm.cl,83,1448,2901,2673,896,2014
Universidad de Colima,www.ucol.mx,84,1479,1718,1390,2672,2014
Escuela Superior Politécnica del Litoral,www.espol.edu.ec,85,1479,1901,108,3711,2014
Pontificia Universidade Católica de São Paulo PUC-SP,www.pucsp.br,86,1484,1934,116,3287,2014
Universidad Autónoma de Baja California,www.uabc.mx,87,1484,2144,1684,1911,2014
Universidade Federal de Lavras UFLA,www.ufla.br,88,1489,3357,635,1593,2014
Universidad Iberoamericana,www.uia.mx,89,1491,2807,1963,1119,2014
Universidade Federal do Amazonas UFAM,portal.ufam.edu.br,90,1494,1811,1333,2128,2014
Universidad San Francisco de Quito,www.usfq.edu.ec,91,1496,3360,654,1495,2014
Universidad Veracruzana,www.uv.mx,92,1501,2507,863,2169,2014
Universidad de Tarapacá,www.uta.cl,93,1514,821,4260,2520,2014
Universidade Tecnológica Federal do Paraná UTFRP,www.utfpr.edu.br,94,1517,3860,208,2115,2014
Universidad del Rosario,www.urosario.edu.co,95,1524,4441,402,2017,2014
Universidad Simón Bolívar Venezuela,www.usb.ve,96,1585,2885,1703,1951,2014
Pontificia Universidade Católica do Minas Gerais PUC-MINAS,www.pucminas.br,97,1607,3410,460,2128,2014
Universidade Federal de Ouro Preto UFOP,www.ufop.br,98,1618,3641,627,1911,2014
Universidad de Guanajuato,www.ugto.mx,99,1646,4560,1450,1544,2014
Universidad EAFIT,www.eafit.edu.co,100,1649,2247,557,3213,2014
(2)  Universidade de São Paulo USP,www.usp.br,1,41,79,6,83,2015
(2)  Universidad Nacional Autónoma de México,www.unam.mx,2,67,51,9,310,2015
Universidade Estadual de Campinas UNICAMP,www.unicamp.br,3,215,326,114,325,2015
Universidad de Chile,www.uchile.cl,4,246,286,195,477,2015
Universidad de Buenos Aires,www.uba.ar,5,278,396,87,388,2015
Universidade Federal do Rio Grande do Sul UFRGS,www.ufrgs.br,6,304,603,55,427,2015
Universidade Federal do Rio de Janeiro,www.ufrj.br,7,311,452,181,352,2015
Universidade Estadual Paulista Júlio de Mesquita Filho,www.unesp.br,8,338,923,30,392,2015
Universidade Federal de Minas Gerais UFMG,www.ufmg.br,9,377,735,157,435,2015
Universidade Federal de Santa Catarina UFSC,ufsc.br,10,378,479,72,673,2015
Universidade Federal do Paraná,www.ufpr.br,11,386,350,53,855,2015
Universidade de Brasília UNB,www.unb.br,12,420,366,145,813,2015
Universidade Federal Fluminense,www.uff.br,13,501,337,275,980,2015
Pontificia Universidad Católica de Chile,www.uc.cl,14,513,860,881,486,2015
