Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
(3) Université de Tunis el Manar Institut Supérieur des Sciences Humaines de Tunis,http://www.issht.rnu.tn/,1371,25194,25078,5963,6683
École Française d'Ensignement Technique,https://www.efetmaroc.com/,1372,25194,25078,5963,6683
Université Julius N'yerere Kankan Guinée,http://www.ujnk.org/,1373,25194,25078,5963,6683
Polytechnic Ife,http://www.thepolytechnicife.com/,1374,25194,25078,5963,6683
Gideon Robert University,https://www.gideonrobertuniversity.com/,1375,25194,25078,5963,6683
Gollis University,https://gollisuniversity.org/,1376,25194,25078,5963,6683
(3) Université de Sousse Institut Supérieur de Beaux Arts de Sousse,http://www.isbas.rnu.tn/,1377,25308,25197,5963,6683
Nakuru Training Institute,https://www.ncti.ac.ke/,1378,25308,25197,5963,6683
St John the Baptist University,https://www.dmisjbu.edu.mw/,1379,25308,25197,5963,6683
(3) Université de Sousse Ecole Supérieure des Sciences et de Technologie de Hammam Sousse,http://www.essths.rnu.tn/,1380,25308,25197,5963,6683
Africa Research University,https://aru-online.com/,1381,25308,25197,5963,6683
Azzaytuna University,https://azu.edu.ly/,1382,25308,25197,5963,6683
KIM University,https://kimuniversity.ac.rw/,1383,25308,25197,5963,6683
College of Production Technology,https://cpt.co.za/,1384,25308,25197,5963,6683
Hope University College,http://www.hopeuniversitycollege.org/,1385,25308,25197,5963,6683
Institut National de la Jeunesse et des Sports d'Abidjan Côte d'Ivoire,http://www.injsabidjan.ci/,1386,25422,25317,5963,6683
Institut Polytechnique Rural,http://www.ipr-ifra.org/,1387,25422,25317,5963,6683
(3) Université de Sfax Institut Supérieur du Sport et de l'Éducation Physique de Sfax,http://www.issepsf.rnu.tn/,1388,25422,25317,5963,6683
Universityof the Holy Quran and Taseel of Science,http://www.uofq.edu.sd/,1389,25422,25317,5963,6683
Université Privée de Sousse École d'Ingénieurs SupTech,http://www.ups.ens.tn/,1390,25422,25317,5963,6683
Marshalls University,http://www.marshalls.edu.gh/,1391,25422,25317,5963,6683
Meserete Kristos College,https://mkcollege.org/,1392,25422,25317,5963,6683
Hebron Theological College,http://www.hebroncollege.co.za/,1393,25422,25317,5963,6683
École des Hautes Études Economiques et Commerciales Marrakech,https://ecoleheec.ma/,1394,25422,25317,5963,6683
École Supérieure des Etudes Juridiques et Economiques ESEJE,https://eseje.ma/,1395,25422,25317,5963,6683
Federal College of Education Technical Omoku,http://www.fcetomoku.edu.ng/,1396,25422,25317,5963,6683
Addis Ababa Medical University College Hargiesa,https://aamuc.com/,1397,25422,25317,5963,6683
Admas University Hargeisa,https://www.admasuniversity.com/,1398,25422,25317,5963,6683
Irgib Africa University,https://irgibafrica.university/,1399,25533,25431,5963,6683
(3) Université de Sfax Institut Supérieur des Arts et Métiers de Sfax,http://www.isams.rnu.tn/,1400,25533,25431,5963,6683
Institut Supérieur de Gestion et de Commerce ISGC Maroc,https://www.isg.ma/,1401,25533,25431,5963,6683
(3) Université de Gabès Institut Supérieur de Gestion de Gabès,http://www.isggb.rnu.tn/,1402,25533,25431,5963,6683
(3) Université de Kairouan Institut Supérieur d'Informatique et de Gestion de Kairouan,http://www.isigk.rnu.tn/,1403,25533,25431,5963,6683
Lesotho College of Education,http://www.lce.ac.ls/,1404,25533,25431,5963,6683
Hope University Mogadishu,http://hopeuniversity.so/,1405,25533,25431,5963,6683
École Supérieur des Etudes Administrative et Commerciales à Sfax (Université Internationale de Management des Affaires à Sfax),http://www.eseac.ens.tn/,1406,25533,25431,5963,6683
(3) Université de Sousse Faculté de Droit et des Sciences Economiques et Politiques de Sousse,http://www.fdseps.rnu.tn/,1407,25533,25431,5963,6683
University of Kibungo,http://www.unik.ac.rw/,1408,25641,25542,5963,6683
École de Management et d'Administration des Affaires Gadir,http://www.emaa.ma/,1409,25641,25542,5963,6683
American Institute of Cameroon St Lawrence University,http://www.aic-edu.org/,1410,25641,25542,5963,6683
International School of Business ISB Sfax,https://isb.ens.tn/,1411,25641,25542,5963,6683
