Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Lucknow Christian College,https://www.lcdc.edu.in/,7673,17380,16672,5963,6683
Bundelkhand Institute of Engineering & Technology,http://bietjhs.ac.in/,7674,17380,16672,5963,6683
Sri Venkateswara College of Engineering Technology Chittoor,https://svcetedu.org/,7675,17380,16672,5963,6683
Yangzhou Zhongrui Hotel Vocational College,http://www.yhiedu.cn/,7676,17380,16672,5963,6683
Sreyas Institute of Engineering & Technology,https://sreyas.ac.in/,7677,17405,20602,5056,6683
Sekolah Tinggi Teknologi Kedirgantaraan STTKD Bantul,https://sttkd.ac.id/,7678,17405,19843,5302,6683
St Xavier's College Ranchi,https://www.sxcran.org/,7679,17407,16701,5963,6683
Kuala Lumpur Metropolitan University College KLMUC,http://klmuc.edu.my/,7680,17407,16701,5963,6683
Government Engineering College Trivandrum,http://www.gecbh.ac.in/,7681,17407,16701,5963,6683
Government Engineering College Kozhikode,http://geckkd.ac.in/,7682,17407,16701,5963,6683
Guru Nanak Institute of Technology,http://gnit.ac.in/,7683,17407,16701,5963,6683
Xi'an Railway Engineering Staff University,http://www.xtzd.cn/,7684,17407,16701,5963,6683
Dazhou Chinese Medicine Vocational College,http://www.dzcmc.com/,7685,17407,16701,5963,6683
Nabi Akram nstitute of Higher Education,http://www.ucna.ac.ir/,7686,17407,16701,5963,6683
University of Makati,http://umak.edu.ph/,7687,17407,16701,5963,6683
Universitas Jenderal Achmad Yani Yogyakarta,https://unjaya.ac.id/,7688,17407,16701,5963,6683
Shukugawa Gakuin College,https://www.shukugawa-c.ac.jp/,7689,17407,16701,5963,6683
Central Institute for Research on Cotton Technology,https://circot.res.in/,7690,17407,16701,5963,6683
City University College of Ajman,https://www.cuca.ae/,7691,17407,16701,5963,6683
National Law University Nagpur,https://www.nlunagpur.ac.in/,7692,17407,16701,5963,6683
National Management Degree College,https://www.nmdc.edu.mm/,7693,17407,16701,5963,6683
Ningxia Sports Vocational College,http://www.nxty.edu.cn/,7694,17407,16701,5963,6683
Universitas Respati Yogyakarta UNRIYO Sleman,http://www.respati.ac.id/,7695,17407,16701,5963,6683
Pune Institute of Business Management,https://www.pibm.in/,7696,17437,16736,5963,6683
Turin Polytechnic University in Tashkent,https://polito.uz/,7697,17437,16736,5963,6683
Pt Ravishankar Shukla University Raipur,http://www.prsuuniv.in/,7698,17437,16736,5963,6683
Politeknik Tuanku Syed Sirajuddin,http://www.ptss.edu.my/,7699,17437,16736,5963,6683
Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Subang,https://stkipsubang.ac.id/,7700,17437,16736,5963,6683
Tajik State Pedagogical University,https://www.tgpu.tj/,7701,17437,20845,5963,6245
Kansai University of Nursing and Medical Care,https://www.kki.ac.jp/,7702,17437,16736,5963,6683
Guru Ravidas Ayurved University,http://www.graupunjab.org/,7703,17437,16736,5963,6683
CMS College Kottayam,https://cmscollege.ac.in/,7704,17437,16736,5963,6683
University of Social Labor,http://ulsa.edu.vn/,7705,17437,16736,5963,6683
Shivalik College of Engineering,https://www.sce.org.in/,7706,17437,16736,5963,6683
Islamic Azad University Khomain,http://iaukhomein.ac.ir/,7707,17471,16772,5963,6683
Jagadguru Rambhadracharya Handicapped University,https://jrhu.com/,7708,17471,16772,5963,6683
Karpagam College of Engineering,https://kce.ac.in/,7709,17471,16772,5963,6683
Korea Soongsil Cyber University,http://www.kcu.ac/,7710,17471,16772,5963,6683
Kalyan Jadhav's Educational Institute Pune,https://www.kjei.edu.in/,7711,17471,19108,5520,6683
Kadi Sarva Vishwavidyalaya,http://ksv.ac.in/,7712,17471,16772,5963,6683
D A V Institute of Engineering & Technology Jalandhar,https://www.davietjal.org/,7713,17471,16772,5963,6683
Don Mariano Marcos Memorial State University,http://www.dmmmsu.edu.ph/,7714,17471,16772,5963,6683
STIMIK ESQ Business School,http://esqbs.ac.id/,7715,17471,16772,5963,6683
Akita University of Nursing and Welfare,https://www.well.ac.jp/,7716,17471,16772,5963,6683
Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP PGRI Bangkalan,https://stkippgri-bkl.ac.id/,7717,17471,16772,5963,6683
Toc H Institute of Science and Technology,https://tistcochin.edu.in/,7718,17471,16772,5963,6683
ACS College of Engineering,https://www.acsce.edu.in/,7719,17471,16772,5963,6683
All India Institute of Medical Sciences Kalyani,http://www.aiimskalyani.edu.in/,7720,17471,16772,5963,6683
B S Anangpuria Educational Institutes,https://anangpuria.com/,7721,17471,16772,5963,6683
Assam Women's University Jorhat,http://www.awu.ac.in/,7722,17471,16772,5963,6683
Sri Lanka Institute of Advanced Technological Education,http://www.sliate.ac.lk/,7723,17471,16772,5963,6683
Universitas Baturaja,https://www.unbara.ac.id/,7724,17471,21722,4672,6683
Keimyung University of Culture,http://www.kmcu.ac.kr/,7725,17499,16803,5963,6683
Kokugakuin Tochigi Junior College,https://www.kokugakuintochigi.ac.jp/,7726,17499,16803,5963,6683
St Xavier's College Ahmedabad,https://sxca.edu.in/,7727,17499,16803,5963,6683
Indian Institute of Information Technology IIIT Nagpur,https://www.iiitn.ac.in/,7728,17499,16803,5963,6683
Indian Naval Academy,https://www.ina.gov.in/,7729,17499,16803,5963,6683
Princess Chulabhorn's College Phitsanulok,http://www.pccpl.ac.th/,7730,17499,16803,5963,6683
(3) Postgraduate Institute of Agriculture University of Peradeniya,http://www.pgia.ac.lk/,7731,17499,16803,5963,6683
Presidency College Bangalore,https://presidencycollege.ac.in/,7732,17499,16803,5963,6683
Seoul Cultural Arts University (Hansung Digital University),https://www.scau.ac.kr/,7733,17499,16803,5963,6683
Akademi Akuntansi Bina Insani Bekasi,https://binainsani.ac.id/,7734,17499,20402,5170,6683
K S Rangasamy College of Arts & Science,http://ksrcas.edu/,7735,17529,18239,5751,6683
Anna University of Technology Tirunelveli,http://www.auttvl.ac.in/,7736,17529,19262,5504,6683
APS College of Engineering,https://apsce.ac.in/,7737,17534,16834,5963,6683
Asutosh College,https://www.asutoshcollege.in/,7738,17534,16834,5963,6683
University of Education,http://education.vnu.edu.vn/,7739,17534,16834,5963,6683
Bharati Vidyapeeth's College of Engineering for Women,https://www.bvcoend.ac.in/,7740,17534,16834,5963,6683
University of Judicial Sciences and Administrative Services Tehran,http://ujsas.ac.ir/,7741,17534,16834,5963,6683
St Joseph's College Irinjalakuda,https://www.stjosephs.edu.in/,7742,17534,16834,5963,6683
Symbiosis Law School SLS Noida,https://www.symlaw.edu.in/,7743,17534,16834,5963,6683
Islamic Azad University Sarvestan,http://iausarv.ac.ir/,7744,17534,20975,5963,6245
Informatics Computer Institute,https://www.informatics.edu.ph/,7745,17534,16834,5963,6683
Jawaharlal Nehru Engineering College,https://www.jnec.org/,7746,17534,16834,5963,6683
Sriram Engineering College,https://sriramec.edu.in/,7747,17534,16834,5963,6683
