Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
North Metropolitan TAFE,https://www.northmetrotafe.wa.edu.au/,111,10844,8704,5963,6683
Governance Institute of Australia,https://www.governanceinstitute.com.au/,112,10889,8762,5963,6683
University of Divinity,https://divinity.edu.au/,113,10929,8807,5963,6683
Yoobee Colleges,https://www.yoobee.ac.nz/,114,10979,8877,5963,6683
Gordon Geelong Institute of TAFE,https://www.thegordon.edu.au/,115,10979,8877,5963,6683
Billy Blue College,https://www.billyblue.edu.au/,116,10999,8908,5963,6683
Te Wānanga o Aotearoa,https://www.twoa.ac.nz/,117,11163,9088,5963,6683
Engineering Institute of Technology,https://www.eit.edu.au/,118,11245,9210,5963,6683
Holmes Institute,https://www.holmes.edu.au/,119,11245,9200,5963,6683
Think: Colleges,http://www.think.edu.au/,120,11370,9360,5963,6683
Monash College,https://www.monashcollege.edu.au/,121,11440,9438,5963,6683
Alphacrucis College (Harvest Bible College),https://study.ac.edu.au/,122,11632,9687,5963,6683
Christian Heritage College,https://chc.edu.au/,123,11632,9689,5963,6683
National Art School (Darlinghurst School of Art & Design),https://nas.edu.au/,124,11687,9755,5963,6683
Excelsia College (Wesley Institute),https://excelsia.edu.au/,125,11701,9772,5963,6683
Kaplan Business School,https://www.kbs.edu.au/,126,11721,9808,5963,6683
Carnegie Mellon University Australia,https://www.australia.cmu.edu/,127,11737,9816,5963,6683
Moore Theological College,https://moore.edu.au/,128,12045,10218,5963,6683
Nan Tien Institute,https://www.nantien.edu.au/,129,12124,10312,5963,6683
Australian Institute of Music,https://www.aim.edu.au/,130,12124,10330,5963,6683
The College of Law,https://www.collaw.edu.au/,131,12151,10353,5963,6683
Melbourne College of Advanced Education,https://www.cae.edu.au/,132,12246,10468,5963,6683
Deakin College (formerly Melbourne Institute of Business and Technology),https://www.deakincollege.edu.au/,133,12369,10617,5963,6683
South Australian Institute of Business and Technology,https://www.saibt.sa.edu.au/,134,12434,10706,5963,6683
Australian College of Physical Education,https://acpe.edu.au/,135,12560,10863,5963,6683
Tai Poutini Polytechnic,https://www.tpp.ac.nz/,136,12597,10902,5963,6683
Edith Cowan College (Perth Institute of Business and Technology),https://www.edithcowancollege.edu.au/,137,12597,10902,5963,6683
Law Society of South Australia,https://www.lawsocietysa.asn.au/,138,12721,11070,5963,6683
Batchelor Institute of Indigenous Tertiary Education,https://www.batchelor.edu.au/,139,12836,11213,5963,6683
Victorian Institute of Technology,https://www.vit.edu.au/,140,12836,11213,5963,6683
Pacific Adventist University,https://www.pau.ac.pg/,141,12897,15093,5963,6245
NZMA,https://www.nzma.ac.nz/,142,12977,11379,5963,6683
Australian Institute of Higher Education AIH,https://aih.nsw.edu.au/,143,12998,11403,5963,6683
IPU New Zealand Tertiary Institute,https://www.ipu.ac.nz/,144,12998,11403,5963,6683
Guam Community College,https://www.guamcc.edu/,145,13118,11532,5963,6683
Whitecliffe College of Arts and Design,https://www.whitecliffe.ac.nz/,146,13223,11667,5963,6683
Sydney Institute of Business and Technology Macquarie University,https://www.sibt.nsw.edu.au/,147,13238,11684,5963,6683
International College of Hotel Management,https://www.ichm.edu.au/,148,13372,11854,5963,6683
William Blue College of Hospitality and Tourism,https://www.williamblue.edu.au/,149,13488,12006,5963,6683
Aspire2 International,https://aspire2international.ac.nz/,150,13607,12153,5963,6683
Laidlaw College,https://www.laidlaw.ac.nz/,151,13625,12176,5963,6683
Pacific International Hotel Management School,http://www.pihms.ac.nz/,152,13786,12361,5963,6683
Marcus Oldham College,https://marcusoldham.vic.edu.au/,153,13905,12503,5963,6683
Victorian Institute of Forensic Medicine,https://www.vifm.org/,154,14005,12635,5963,6683
Top Education Institute,https://www.top.edu.au/,155,14023,12655,5963,6683
Whitehouse Institute of Design,https://whitehouse-design.edu.au/,156,14039,12680,5963,6683
Curtin College,https://www.curtincollege.edu.au/,157,14039,12680,5963,6683
Academy of Information Technology,https://www.ait.edu.au/,158,14072,12728,5963,6683
IIBIT,https://www.iibit.edu.au/,159,14091,12755,5963,6683
Te Whare Wānanga o Awanuiarangi,https://www.wananga.ac.nz/,160,14131,12809,5963,6683
