Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Trinity Baptist College,https://tbc.edu/,3051,11721,9808,5963,6683
The King's University,https://www.tku.edu/,3052,11721,9808,5963,6683
Southeastern Community College,https://www.sccnc.edu/,3053,11721,9808,5963,6683
National Circus School Montreal,https://ecolenationaledecirque.ca/,3054,11721,9795,5963,6683
(3) Ellis School of Nursing,http://www.ellismedicine.org/,3055,11721,9795,5963,6683
Herzing College Montreal,https://www.herzing.ca/,3056,11737,9816,5963,6683
Atlanta Institute of Music and Media,https://www.aimm.edu/,3057,11745,9822,5963,6683
Coffeyville Community College and Area Technical School,https://www.coffeyville.edu/,3058,11745,9822,5963,6683
Enterprise State Community College,https://www.escc.edu/,3059,11752,9828,5963,6683
Humphreys College,https://www.humphreys.edu/,3060,11752,9828,5963,6683
North Central Missouri College,https://www.ncmissouri.edu/,3061,11765,9848,5963,6683
Neumont University,https://www.neumont.edu/,3062,11785,9875,5963,6683
Ashton College,https://www.ashtoncollege.ca/,3063,11785,9886,5963,6683
Vancouver Institute of Media Arts,https://www.vanarts.com/,3064,11785,9886,5963,6683
Wiregrass Georgia Technical College (East Central Technical College),https://www.wiregrass.edu/,3065,11785,9886,5963,6683
Instituto Tecnológico de Calkiní,https://www.itescam.edu.mx/,3066,11798,15956,5963,5999
Glen Oaks Community College,https://www.glenoaks.edu/,3067,11798,9896,5963,6683
Big Sandy Community and Technical College,https://bigsandy.kctcs.edu/,3068,11798,9896,5963,6683
Central Virginia Community College,https://centralvirginia.edu/,3069,11806,9907,5963,6683
Rockingham Community College,https://www.rockinghamcc.edu/,3070,11806,9907,5963,6683
Cisco Junior College,https://www.cisco.edu/,3071,11814,9918,5963,6683
Grace University,https://www.graceuniversity.edu/,3072,11820,9926,5963,6683
Western Piedmont Community College,https://www.wpcc.edu/,3073,11820,9926,5963,6683
Manitoba Institute of Trades and Technology,https://mitt.ca/,3074,11820,9926,5963,6683
Burman University (Canadian University College),https://www.burmanu.ca/,3075,11820,9926,5963,6683
Saint Paul School of Theology,https://www.spst.edu/,3076,11835,9946,5963,6683
Harbor UCLA Medical Center Graduate Medical Education,https://www.harbor-ucla.org/,3077,11835,9946,5963,6683
Ogeechee Technical College,https://www.ogeecheetech.edu/,3078,11835,9946,5963,6683
Athenaeum of Ohio,https://athenaeum.edu/,3079,11851,9977,5963,6683
Redlands Community College,http://www.redlandscc.edu/,3080,11851,9978,5963,6683
James Sprunt Community College,https://jamessprunt.edu/,3081,11864,9986,5963,6683
Western Oklahoma State College,https://www.wosc.edu/,3082,11869,9997,5963,6683
Hebrew Theological College,http://www.htc.edu/,3083,11869,9997,5963,6683
Ashland Community & Technical College,https://ashland.kctcs.edu/,3084,11869,9997,5963,6683
Arkansas State University Mountain Home,https://asumh.edu/,3085,11869,9997,5963,6683
Lasalle College Vancouver,https://www.lasallecollegevancouver.com/,3086,11880,10011,5963,6683
Clarendon College,https://www.clarendoncollege.edu/,3087,11880,10011,5963,6683
Universidad de Matamoros,http://www.unidemat.edu.mx/,3088,11890,10032,5963,6683
Maranatha Baptist University,https://www.mbu.edu/,3089,11890,10032,5963,6683
Lake Forest Graduate School of Management,https://www.lakeforestmba.edu/,3090,11890,10021,5963,6683
Donnelly College,https://www.donnelly.edu/,3091,11903,10045,5963,6683
Morgan Community College,https://www.morgancc.edu/,3092,11903,10045,5963,6683
Nicola Valley Institute of Technology,https://www.nvit.ca/,3093,11911,10054,5963,6683
Dominican House of Studies,https://dhs.edu/,3094,11917,10061,5963,6683
Santa Fe University of Art and Design (College of Santa Fe),https://www.santafeuniversity.edu/,3095,11917,10061,5963,6683
University of Arkansas Community College Batesville,https://www.uaccb.edu/,3096,11943,10097,5963,6683
Snead State Community College,https://snead.edu/,3097,11943,10097,5963,6683
Oblate School of Theology,http://ost.edu/,3098,11956,10111,5963,6683
Michigan School of Professional Psychology,https://msp.edu/,3099,11956,10111,5963,6683
Cégep de Saint Laurent,https://www.cegepsl.qc.ca/,3100,11968,10127,5963,6683
Pierpont Community and Technical College,https://www.pierpont.edu/,3101,11968,10127,5963,6683
St Augustine College,https://www.staugustine.edu/,3102,11979,10138,5963,6683
Lakeview College of Nursing,https://www.lakeviewcol.edu/,3103,11979,10138,5963,6683
Balsillie School of International Affairs,https://www.balsillieschool.ca/,3104,11979,10148,5963,6683
Murray State College,https://www.mscok.edu/,3105,12008,10175,5963,6683
Kenai Peninsula College,https://kpc.alaska.edu/,3106,12017,10183,5963,6683
Collège de Bois de Boulogne,https://www.bdeb.qc.ca/,3107,12033,10200,5963,6683
North Florida Community College,https://www.nfc.edu:443/,3108,12033,10206,5963,6683
Grace Christian University,https://gracechristian.edu/,3109,12033,10206,5963,6683
Salem Community College,https://www.salemcc.edu/,3110,12033,10200,5963,6683
Copper Mountain College,https://www.cmccd.edu/,3111,12033,10200,5963,6683
Madisonville Community College,https://madisonville.kctcs.edu/,3112,12045,10218,5963,6683
Oak Hills Christian College,https://www.oakhills.edu/,3113,12045,10218,5963,6683
Cincinnati College of Mortuary Science,https://www.ccms.edu/,3114,12054,10226,5963,6683
Warren County Community College,https://www.warren.edu/,3115,12066,10242,5963,6683
Wright Institute,https://www.wi.edu/,3116,12066,10242,5963,6683
Southeast Kentucky Community & Technical College,https://southeast.kctcs.edu/,3117,12066,10242,5963,6683
Southern Technical College (Southwest Florida College),https://www.southerntech.edu/,3118,12066,10242,5963,6683
Baptist Health Sciences University,https://www.baptistu.edu/,3119,12080,10265,5963,6683
Sinte Gleska University,http://www.sintegleska.edu/,3120,12111,10299,5963,6683
Ohio Technical College,https://ohiotech.edu/,3121,12124,10312,5963,6683
Beaufort County Community College,https://www.beaufortccc.edu/,3122,12124,10330,5963,6683
Clarks Summit University,https://www.clarkssummitu.edu/,3123,12142,10339,5963,6683
Spoon River College,https://www.src.edu/,3124,12151,10353,5963,6683
